row_type	academic_type	direction	pain_demand_proof	current_ne_proof	salmon_strategic_fit	decision	nfx_category	vision_hypothesis_exists	vision_ideas_refs	current_hypotheses_from_vision	new_hypotheses_from_chat	why_consider_or_not	key_data_or_notes	source_refs
slide_note	Прямой + непрямой / portfolio	Что именно мы выбираем	Ищем уже доказанную боль и подтвержденный спрос.	Ищем категорию, где сетевой moat еще не занят или недостроен.	Высокий только там, где Salmon может зайти без строительства default rail или агентской сети с нуля.	working_principle	Portfolio filter	Да	vision_ideas.md:7-29,31-40,42-50,57-58	Поле уже содержит и direct-, и indirect-идеи; задача не расширять список, а убрать дубли и собрать их в чистые направления.	Merge friends + household + workspace into one direct direction; keep cross-border as indirect adjacency; treat messenger and competition as product forms.	Главная ставка — direct wedge: small-group shared-money coordination. Это один класс сценариев с разными входами, а не набор разрозненных продуктов.	This note explains the selection logic behind the table.	slides_draft.md:305-312; vision_ideas.md
slide_note	Вне пары direct / indirect	Data layer	Слабый как day-1 user pull: пользователи приходят не за antifraud или scoring.	Становится значимым только после повторного использования и накопления group behavior data.	Средний later	Later moat	Data Network Effects	Частично	vision_ideas.md:57	Цикл "совместные балансы -> расходы -> доверие" намекает на будущие trust signals.	Trust score from repayment behavior; smart reminders; antifraud anomalies; personalized group rules.	Это не отдельное направление, а усиливающий слой поверх выбранного direct или indirect продукта.	More usage -> better data -> better product value, but only after scale.	theory_nfx.md:254-276; vision_ideas.md:57
slide_note	Прямой + непрямой / portfolio	NFX cross-check	Используем NFX как чеклист, чтобы не забыть возможные классы механик.	Сверяем, где эффект естественный, а где он будет borrowed или натянутым.	Highest for Personal Utility; medium for Marketplace-like merchant paths.	checklist	NFX portfolio	Да	vision_ideas.md:7-29,31-40,42-50,57-58	Ideas map mainly to Personal Utility, Marketplace-like indirect paths, Personal and Data.	Shared workspace as Market Networks lens; chat and competition as feature layers, not standalone directions.	NFX here is a sanity check, not the primary taxonomy of the slide.	This note keeps the direct/indirect classifier clean.	slides_draft.md:318-320; theory_nfx.md
slide_direction	Прямой / direct	Small-group shared-money coordination	Высокий: shared-money pain и demand уже видны в split/settlement сценариях.	Ограниченный у текущих продуктов: utility доказана, но moat пока bounded.	Высокий	Да — основная ставка	Personal Utility	Да	vision_ideas.md:7-8,21,25,29,41-44,57	split P2P; продукты для супругов и детей; права просмотра и действия по счету; travel/restaurants; кейс с мессенджером, как у Revolut	Group payment thread; extend existing in-app chat from store discovery into group payment chat; reminders, reactions, status of who paid.	Это лучший overlap между proven pain, repeated use и Salmon fit. Friends, household и workspace — это один класс сценариев с разными входами.	Current Salmon materials mention in-app chat for store discovery, but there is no proof of a peer-to-peer social messenger yet.	vision_ideas.md:7-8; vision_ideas.md:21; vision_ideas.md:25; vision_ideas.md:29; llm_data/known_cases.md:261-377; llm_data/salmon_website_content.md:39-40
slide_direction	Прямой / direct	Group goals / savings / gifting	Средний: механика выглядит естественной, если уже есть доверенная группа и повторяемый повод.	Пока ограниченный	Средний	Фаза 2	Personal Utility	Да	vision_ideas.md:10-12,28,38-40	Совместное инвестирование; совместная кубышка; фандрайзинг; подарить карту с деньгами; соревновательность как идея	Trip savings circle; birthday and holiday gifting; group saving streaks; team challenges inspired by Duolingo/Strava.	Хорошее расширение после запуска coordination wedge, но слабее как day-1 entry point.	Competition here should be team-based and opt-in, not wealth leaderboards or public shaming.	vision_ideas.md:10-12; vision_ideas.md:28; vision_ideas.md:38-40; llm_data/WeChat.md; slides_draft.md:329
slide_direction	Прямой / direct	Social money layer	Слабый: идеи есть, но safe demand proof слабее, чем у private coordination.	Сомнительный / риск токсичности	Низкий	Низкий приоритет / высокий риск	Personal	Да	vision_ideas.md:22,24,26,28	Rewarded UGC; UGC visual card; visibility into other people's money or salary; competition	Repayer badges; completion streaks; lightweight public celebrations.	В деньгах public identity и social comparison быстро сталкиваются с privacy, shame и trust limits.	Useful as a feature layer later, risky as the main product wedge.	vision_ideas.md:22; vision_ideas.md:24; vision_ideas.md:26; theory_nfx.md:117-128
slide_direction	Прямой / direct	Default rail / bill-pay / payment convenience	Высокий как market outcome, но не как realistic startup wedge.	Очень сильный у победителей категории	Низкий	Нет на первом этапе	Protocol / default-standard direct effect	Да	vision_ideas.md:18,39	QR-коды на счетах за utilities; отправить деньги до востребования пользователю без карты	Bill-pay priority flows; payment initiation shortcuts on top of existing rails.	Это направление обычно побеждают банки, national rails и стандарты, а не consumer wedges вроде Salmon.	Good reference class, poor starting point.	vision_ideas.md:18; vision_ideas.md:39
slide_direction	Непрямой / indirect	Users ↔ merchants / group commerce	Средний-высокий: merchant-side value и user-side group behavior могут усиливать друг друга.	Пока частично доказан через merchant asset Salmon, не как social moat.	Средний-высокий	Adjacent path	Marketplace (2-sided)	Да	vision_ideas.md:15,17,23,41-47	Значимые скидки у мерчантов для компаний; спец продукт для маркетплейсов; fee offer для ИП; travel/restaurants; кешбек у партнеров	Merchant-funded group offers; shared restaurant checkout; travel bundles; pay-as-a-group discounts.	Это главный indirect-adjacent path, потому что у Salmon уже есть merchant-side asset и offline distribution.	Merchant distribution is already present; the open question is whether it can become true recurring network value, not just distribution.	vision_ideas.md:15; vision_ideas.md:17; vision_ideas.md:23; vision_ideas.md:41-47; llm_data/salmon_website_content.md:38-41; llm_data/salmon_website_content.md:141-147
slide_direction	Непрямой / indirect	Users ↔ institutions / remittance ecosystem	Средний: особенно релевантно для Philippines, но пока скорее adjacent hypothesis, чем proven wedge.	Не доказан как core moat для нашего продукта	Средний	Учитывать как сильную adjacency	Indirect / rails-and-distribution ecosystem	Да	vision_ideas.md:19,27	cross-border payments спец офер; зарплатный проект	Family remittance coordination; recurring diaspora-to-home flows; seasonal gifting and remittance rituals.	Не выбрасываем, потому что Philippines structurally remittance-heavy, а Salmon already touches assisted distribution and formal financial rails.	Direction is stronger if we productize family coordination around remittance, not just FX discount or transfer fee marketing.	vision_ideas.md:19; vision_ideas.md:27; llm_data/WeChat.md; llm_data/salmon_website_content.md:35; llm_data/salmon_website_content.md:39-40
slide_direction	Непрямой / indirect	Users ↔ capital / guarantors	Средний как idea space, но consumer proof пока слабее и сложность выше.	Не доказан для нашего wedge	Низкий	Не сейчас	Marketplace (2-sided) / shared risk pool	Да	vision_ideas.md:31-36	Лучшие условия по кредиту при поручителях; долевая ипотека; shared BNPL; users fund users	Social collateral pool; group guarantee credit; pooled reserve for better pricing.	Интересно стратегически, но это слишком рано ведет Salmon в тяжелый credit marketplace и regulatory complexity.	Good optionality space, weak first wedge.	vision_ideas.md:31-36
slide_direction	Непрямой / indirect	Platform / complements ecosystem	Слабый: явного demand proof для third-party complements сейчас нет.	Не доказан	Низкий	Не сейчас	Platform (2-sided)	Скорее нет	vision_ideas.md:17 (adjacent)	Спец продукт для маркетплейсов — ближайшая adjacent idea, но это еще не platform ecosystem.	APIs; mini-apps; partner-built workflows.	Требует стороннего supply-side, который сегодня для Salmon не является главным источником value.	Useful only after a clear consumer or merchant wedge exists.	theory_nfx.md:187-202; vision_ideas.md:17
